====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
Plum 3                         0.979798     0.957237     0.968386     0.957237      0.999846      0.000485     304       
Pomegranate 1                  0.611111     0.469512     0.531034     0.469512      0.998745      0.003468     164       
Pomelo Sweetie 1               0.986111     0.928105     0.956229     0.928105      0.999949      0.000332     153       
Potato Red 1                   0.894737     0.340000     0.492754     0.340000      0.999846      0.002678     150       
Potato Red Washed 1            0.930233     0.264901     0.412371     0.264901      0.999923      0.002907     151       
Potato Sweet 1                 0.768116     0.353333     0.484018     0.353333      0.999590      0.002882     150       
Potato White 1                 0.746667     0.746667     0.746667     0.746667      0.999027      0.001938     150       
Quince 1                       0.643411     1.000000     0.783019     1.000000      0.997644      0.002346     166       
Quince 2                       0.925000     0.616667     0.740000     0.616667      0.999692      0.002652     240       
Quince 3                       0.915612     0.896694     0.906054     0.896694      0.999487      0.001148     242       
Quince 4                       0.742236     0.959839     0.837128     0.959839      0.997870      0.002372     249       
Rambutan 1                     1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     164       
Raspberry 1                    1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     166       
Redcurrant 1                   0.543046     1.000000     0.703863     1.000000      0.996466      0.003519     164       
Salak 1                        0.794595     0.907407     0.847262     0.907407      0.999027      0.001352     162       
Strawberry 1                   0.683761     0.975610     0.804020     0.975610      0.998105      0.001989     164       
Strawberry Wedge 1             0.983425     0.723577     0.833724     0.723577      0.999923      0.001811     246       
Tamarillo 1                    0.857923     0.945783     0.899713     0.945783      0.999334      0.000893     166       
Tangelo 1                      0.423729     0.753012     0.542299     0.753012      0.995646      0.005381     166       
